nome,local,nivel,tamanho_total,tamanho_proprio,qtd_arquivos_total,qtd_arquivos_direta
gabarito-avaliacao-pratica-banco-dados,sistema/BANCO_DE_DADOS/gabarito-avaliacao-pratica-banco-dados,3,135853,135853,7,7
04 - FERRAMENTAS-DIGITAIS,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/04 - FERRAMENTAS-DIGITAIS,4,134287,134287,3,3
docs,docs,1,130047,111246,67,64
Testes de Sistemas,sistema/TECNICO-INFORMATICA-INTERNET/MATERIAIS-EXISTENTES/Testes de Sistemas,4,100685,100685,3,3
PROVA_PRATICA,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/PROVA_PRATICA,4,99198,99198,10,10
AVALIACOES,sistema/FICHA-PRODUTO-MAIS-TECH/INTRODUCAO_COMUNICACAO_ORAL_ESCRITA/AVALIACOES,4,83408,83408,2,2
EQUIPE_09,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_09,5,72780,72780,3,3
assets,E-MAIL-SENAI/assets,2,72436,0,10,0
EQUIPE_08,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_08,5,70256,70256,4,4
01-COMPARATIVOS,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CLAUDE/01-COMPARATIVOS,6,68715,68715,6,6
js,E-MAIL-SENAI/assets/js,3,62079,62079,9,9
GESTAO-E-MATERIAIS,GESTAO-E-MATERIAIS,1,58482,58482,3,3
EQUIPE_10,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_10,5,57535,57535,3,3
EQUIPE_03,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_03,5,55755,55755,3,3
ATIVIDADES,sistema/TECNICO-INFORMATICA-INTERNET/TESTES DE FRONTEND/ATIVIDADES,4,55330,55330,10,10
src,sistema/PENDENCIAS-PROFESSOR/src,3,44981,22352,6,3
.,.,0,44560,44560,5,5
exemplo-biblioteca,sistema/BANCO_DE_DADOS/exemplo-biblioteca,3,43681,43681,4,4
AULA-02-04-08-2026,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AULAS/AULA-02-04-08-2026,4,39127,39127,1,1
AVALIACOES,sistema/INTRODUCAO-TIC/AVALIACOES,3,38576,38576,4,4
ATIVIDADES,sistema/FICHA-PRODUTO-MAIS-TECH/EXPLORACAO_CARREIRAS_INDUSTRIAIS_TECNOLOGICAS/ATIVIDADES,4,38537,38537,3,3
scripts,E-MAIL-SENAI/scripts,2,35145,35145,7,7
02-GOOGLE-WORKSPACE,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CLAUDE/02-GOOGLE-WORKSPACE,6,33770,33770,7,7
cache,sistema/PENDENCIAS-PROFESSOR/graphify-out/cache,4,32218,785,5,1
AULAS,sistema/FICHA-PRODUTO-MAIS-TECH/REFORCO_MATEMATICA_E_RACIOCINIO_LOGICO/AULAS,4,31726,31726,1,1
ast,sistema/PENDENCIAS-PROFESSOR/graphify-out/cache/ast,5,31433,0,4,0
v0.8.36,sistema/PENDENCIAS-PROFESSOR/graphify-out/cache/ast/v0.8.36,6,31433,31433,4,4
converted,sistema/BANCO_DE_DADOS/graphify-out/converted,4,25303,25303,1,1
03-MICROSOFT-OFFICE,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CLAUDE/03-MICROSOFT-OFFICE,6,23574,23574,5,5
assets,sistema/PENDENCIAS-PROFESSOR/src/assets,4,22629,22629,3,3
superpowers,docs/superpowers,2,18801,0,3,0
plans,docs/superpowers/plans,3,16151,16151,2,2
public,sistema/PENDENCIAS-PROFESSOR/public,3,14554,14554,2,2
EQUIPE_06,sistema/INTRODUCAO_TIC-PRESIDENTE-GETULIO/AVALIACOES_CRIADAS/ENTREGAS-PROVA-PRATICA/EQUIPE_06,5,14425,14425,2,2
04-MICROSOFT-ECOSYSTEM,sistema/FICHA-PRODUTO-MAIS-TECH/FUNDAMENTOS_DA_TECNOLOGIA_E_PROGRAMACAO/PLANO-3-AULAS/VERSAO-CLAUDE/04-MICROSOFT-ECOSYSTEM,6,13131,13131,3,3
css,E-MAIL-SENAI/assets/css,3,10357,10357,1,1
cursos-online,cursos-online,1,7677,7677,1,1
SUBSTITUICOES,sistema/FICHA-PRODUTO-MAIS-TECH/REFORCO_LINGUAGENS/SUBSTITUICOES,4,7527,7527,1,1
specs,docs/superpowers/specs,3,2650,2650,1,1
v0.8.36,graphify-out/cache/ast/v0.8.36,4,0,0,0,0
ATIVIDADES,sistema/FICHA-PRODUTO-MAIS-TECH/REFORCO_LINGUAGENS/ATIVIDADES,4,0,0,0,0
